name*,version*,license*,vendor/community,end-of-support,dependencies,language
antlr,2.7.7-redhat-1,BSD 3-clause,,,,java
aopalliance,1.0.0,Public Domain,,,,java
asm,3.3.1,BSD 3-clause,,,,java
bonita-client,5.9.1,LGPL 2.1,,,,java
cglib,2.2.2,Apache 2.0,,,,java
commons-beanutils,1.8.3,Apache 2.0,,,,java
commons-collections,3.2.1,Apache 2.0,,,,java
commons-dbcp,1.2.2,Apache 2.0,,,,java
commons-lang,2.6,Apache 2.0,,,,java
commons-lang3,3.1,Apache 2.0,,,,java
commons-logging,1.1,Apache 2.0,,,,java
commons-pool,1.5.2,Apache 2.0,,,,java
dom4j,1.6.1-redhat-1,BSD 4-clause,,,,java
dozer,5.3.2,Apache 2.0,,,,java
hamcrest-all,1.3,BSD 2-clause,,,,java
hibernate-commons-annotations,4.0.1.Final-redhat-1,EPL 1.0,,,,java
hibernate-core,4.1.3.Final-redhat-1,LGPL 2.1,,,,java
hibernate-entitymanager,4.1.3.Final-redhat-1,LGPL 2.1,,,,java
hibernate-jpa-2.0-api,1.0.1.Final-redhat-1,EPL 1.0,,,,java
jackson-core-asl,1.9.2-redhat-1,Apache 2.0,,,,java
jackson-mapper-asl,1.9.2-redhat-1,Apache 2.0,,,,java
javassist,3.16.1-GA,Apache 2.0+LGPL 2.1+MPL 1.1,,,,java
jboss-logging,3.1.1.GA-redhat-1,LGPL 2.1,,,,java
jboss-transaction-api_1.1_spec,1.0.1.Final-redhat-1,LGPL 2.1,,,,java
jtype,0.1.1-redhat-1,Apache 2.0,,,,java
junit,4.11,EPL 1.0,,,,java
log4j,1.2.15,Apache 2.0,,,,java
postgresql,9.4-1201.jdbc4,POSTGRESQL,,,,java
slf4j-api,1.5.8,MIT,,,,java
slf4j-jdk14,1.5.8,MIT,,,,java
spring-aop,3.1.1.RELEASE,Apache 2.0,,,,java
spring-asm,3.1.1.RELEASE,Apache 2.0,,,,java
spring-beans,3.1.1.RELEASE,Apache 2.0,,,,java
spring-context,3.1.1.RELEASE,Apache 2.0,,,,java
spring-core,3.1.1.RELEASE,Apache 2.0,,,,java
spring-data-commons-core,1.4.0.RELEASE,Apache 2.0,,,,java
spring-data-jpa,1.2.0.RELEASE,Apache 2.0,,,,java
spring-expression,3.1.1.RELEASE,Apache 2.0,,,,java
spring-jdbc,3.1.1.RELEASE,Apache 2.0,,,,java
spring-orm,3.1.1.RELEASE,Apache 2.0,,,,java
spring-test,3.1.1.RELEASE,Apache 2.0,,,,java
spring-tx,3.1.1.RELEASE,Apache 2.0,,,,java
spring-web,3.1.1.RELEASE,Apache 2.0,,,,java
xmlpull,1.1.3.1,Public Domain,,,,java
xpp3_min,1.1.4c,CC0 1.0+Public Domain,,,,java
xstream,1.4.2,BSD 2-clause,,,,java
